model,series_id,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,total_demand
point_gbdt_safety,FOODS_1_008_CA_1,2449.0929165095563,2449.0929165095563,0.0,0.0,1.0,1.0,0.0,31.3986271347379,25.0
point_gbdt_safety,FOODS_1_010_CA_3,2332.53415889648,2332.53415889648,0.0,0.0,1.0,1.0,0.0,29.904284088416414,44.0
point_gbdt_safety,FOODS_1_010_WI_3,2556.6380667297867,2556.6380667297867,0.0,0.0,1.0,1.0,0.0,32.777411111920344,55.0
point_gbdt_safety,FOODS_1_013_WI_1,2651.647069580823,2651.647069580823,0.0,0.0,1.0,1.0,0.0,33.99547525103619,125.0
point_gbdt_safety,FOODS_1_014_WI_3,2356.4629051190655,2356.4629051190655,0.0,0.0,1.0,1.0,0.0,30.211062886141864,87.0
point_gbdt_safety,FOODS_1_022_WI_3,2589.9824623975005,2589.9824623975005,0.0,0.0,1.0,1.0,0.0,33.20490336407052,1.0
point_gbdt_safety,FOODS_1_024_TX_1,2429.5205298005903,2429.5205298005903,0.0,0.0,1.0,1.0,0.0,31.147699100007568,53.0
point_gbdt_safety,FOODS_1_025_TX_1,2438.6395738978713,2438.6395738978713,0.0,0.0,1.0,1.0,0.0,31.26460992176758,44.0
point_gbdt_safety,FOODS_1_025_WI_1,2847.6250573229636,2847.6250573229636,0.0,0.0,1.0,1.0,0.0,36.50801355542261,33.0
point_gbdt_safety,FOODS_1_032_CA_2,3140.0551166723603,2681.008812581951,459.04630409040914,0.0,0.8654217812693025,0.8846153846153846,0.11538461538461539,34.37190785361476,379.0
point_gbdt_safety,FOODS_1_040_TX_1,2684.102342910489,2684.102342910489,0.0,0.0,1.0,1.0,0.0,34.411568498852425,41.0
point_gbdt_safety,FOODS_1_043_CA_3,22698.60264844221,22698.60264844221,0.0,0.0,1.0,1.0,0.0,291.00772626207964,42.0
point_gbdt_safety,FOODS_1_045_CA_3,3162.5018511429043,3162.5018511429043,0.0,0.0,1.0,1.0,0.0,40.54489552747313,133.0
point_gbdt_safety,FOODS_1_045_WI_2,2579.408374202559,2579.408374202559,0.0,0.0,1.0,1.0,0.0,33.06933813080204,108.0
point_gbdt_safety,FOODS_1_046_WI_3,3851.6109579820836,3681.0898562208617,170.5211017612217,0.0,0.9298267070941475,0.9230769230769231,0.07692307692307693,47.19345969513925,270.0
point_gbdt_safety,FOODS_1_047_TX_2,3141.0841312425296,3141.0841312425296,0.0,0.0,1.0,1.0,0.0,40.27030937490422,62.0
point_gbdt_safety,FOODS_1_054_CA_1,2136.941629677947,2011.2683565845427,125.67327309340403,0.0,0.8957933058926998,0.9615384615384616,0.038461538461538464,25.78549175108388,134.0
point_gbdt_safety,FOODS_1_054_TX_3,2385.0066124041637,2385.0066124041637,0.0,0.0,1.0,1.0,0.0,30.57700785133543,35.0
point_gbdt_safety,FOODS_1_055_WI_2,3921.2377868047197,3716.476939517882,204.76084728683765,0.0,0.8327117260728452,0.9102564102564102,0.08974358974358974,47.647140250229256,136.0
point_gbdt_safety,FOODS_1_056_WI_1,3186.410731900902,3186.410731900902,0.0,0.0,1.0,1.0,0.0,40.85141963975516,1.0
point_gbdt_safety,FOODS_1_057_CA_2,3732.596657568087,3732.596657568087,0.0,0.0,1.0,1.0,0.0,47.85380330215496,3.0
point_gbdt_safety,FOODS_1_060_CA_4,2391.3599186717383,2391.3599186717383,0.0,0.0,1.0,1.0,0.0,30.658460495791516,39.0
point_gbdt_safety,FOODS_1_062_TX_2,2289.708299506472,2289.708299506472,0.0,0.0,1.0,1.0,0.0,29.355234609057334,47.0
point_gbdt_safety,FOODS_1_064_WI_3,2461.7750734250467,2461.7750734250467,0.0,0.0,1.0,1.0,0.0,31.5612188900647,18.0
point_gbdt_safety,FOODS_1_066_WI_1,2249.316786811451,2243.218309558366,6.098477253085065,0.0,0.9959666155733564,0.9871794871794872,0.01282051282051282,28.75920909690213,168.0
point_gbdt_safety,FOODS_1_069_CA_3,3211.5043188160193,2928.896932538811,282.6073862772083,0.0,0.9030838867362112,0.9615384615384616,0.038461538461538464,37.5499606735745,324.0
point_gbdt_safety,FOODS_1_078_TX_2,2480.7576444972533,2480.7576444972533,0.0,0.0,1.0,1.0,0.0,31.804585185862223,43.0
point_gbdt_safety,FOODS_1_081_WI_1,2309.268403309605,2309.268403309605,0.0,0.0,1.0,1.0,0.0,29.606005170635964,67.0
point_gbdt_safety,FOODS_1_083_WI_3,3717.0080397614206,3717.0080397614206,0.0,0.0,1.0,1.0,0.0,47.65394922771052,92.0
