model,MAE,RMSE,sMAPE,WAPE,pinball_0.5,coverage_0.5,pinball_0.7,coverage_0.7,pinball_0.8,coverage_0.8,pinball_0.9,coverage_0.9,pinball_0.95,coverage_0.95,pinball_0.99,coverage_0.99,pinball_mean
point_gbdt_safety,9.08926078465783,21.925867223879706,0.5511088977123373,0.3159540497305366,4.544630392328915,0.5476666666666666,5.6045092266990295,0.8995833333333333,5.404404694664015,0.9410833333333334,4.176337368750677,0.9635833333333333,2.9658995226816454,0.972,1.3800346333909408,0.9823333333333333,4.012635973085871
pp_quantile_fixed,8.484534028166577,21.677955429542397,0.5511078584860873,0.2949329928788802,4.242267014083288,0.47775,4.0748430843496175,0.6593333333333333,3.5436469676617537,0.7519166666666667,2.5649668762812774,0.8528333333333333,1.7157359863180512,0.9275,0.6760932401850445,0.99025,2.802925528146505
pp_quantile_calibrated,8.484534028166577,21.677955429542397,0.5511078584860873,0.2949329928788802,4.242267014083288,0.47775,4.0748430843496175,0.6593333333333333,3.5436469676617537,0.7519166666666667,2.5649668762812774,0.8528333333333333,1.7157359863180512,0.9275,0.6760932401850445,0.99025,2.802925528146505
