model,series_id,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,total_demand
seasonal_naive,FOODS_1_008_CA_1,465.54808967021603,451.80907382562026,13.73901584459579,0.0,0.8900878732432337,0.9615384615384616,0.038461538461538464,5.792424023405388,25.0
seasonal_naive,FOODS_1_010_CA_3,497.9007581760636,471.3770164573089,26.52374171875472,0.0,0.879437537642024,0.9102564102564102,0.08974358974358974,6.0432950827860115,44.0
seasonal_naive,FOODS_1_010_WI_3,979.8754330256643,926.7292771889452,53.14615583671912,0.0,0.8067412515028396,0.9487179487179487,0.05128205128205128,11.88114457934545,55.0
seasonal_naive,FOODS_1_013_WI_1,1227.3826685677636,1196.0110580338956,31.371610533868015,0.0,0.9498054231458111,0.9487179487179487,0.05128205128205128,15.33347510299866,125.0
seasonal_naive,FOODS_1_014_WI_3,940.6384042109285,891.8439577393393,48.79444647158914,0.0,0.887828858686002,0.9487179487179487,0.05128205128205128,11.433896894094094,87.0
seasonal_naive,FOODS_1_022_WI_3,241.29597348755348,241.29597348755348,0.0,0.0,1.0,1.0,0.0,3.093538121635301,1.0
seasonal_naive,FOODS_1_024_TX_1,701.3654294191854,652.2337287147085,49.13170070447691,0.0,0.8145973558321626,0.8974358974358975,0.10256410256410256,8.3619708809578,53.0
seasonal_naive,FOODS_1_025_TX_1,583.443516920658,556.9197413810451,26.523775539612863,0.0,0.8794373839108506,0.9358974358974359,0.0641025641025641,7.139996684372373,44.0
seasonal_naive,FOODS_1_025_WI_1,1162.2518174564086,1161.7191645876655,0.5326528687430709,0.0,0.9967718007954965,0.9871794871794872,0.01282051282051282,14.893835443431609,33.0
seasonal_naive,FOODS_1_032_CA_2,2795.2373083949046,2605.1431361020736,190.09417229283088,0.0,0.8996864526159204,0.8846153846153846,0.11538461538461539,33.39927097566761,379.0
seasonal_naive,FOODS_1_040_TX_1,851.9776448469825,774.3431708868062,77.63447396017631,0.0,0.6212952489747497,0.8846153846153846,0.11538461538461539,9.927476549830848,41.0
seasonal_naive,FOODS_1_043_CA_3,16751.458302131436,16751.458302131436,0.0,0.0,1.0,1.0,0.0,214.76228592476198,42.0
seasonal_naive,FOODS_1_045_CA_3,1989.722270680563,1989.722270680563,0.0,0.0,1.0,1.0,0.0,25.509259880520037,133.0
seasonal_naive,FOODS_1_045_WI_2,1523.7625267637081,1496.0891491315588,27.673377632149325,0.0,0.9487530043849086,0.9615384615384616,0.038461538461538464,19.180630117071267,108.0
seasonal_naive,FOODS_1_046_WI_3,2569.8046959013404,2335.6071213466985,234.19757455464176,0.0,0.8265203151447098,0.7948717948717948,0.20512820512820512,29.94368104290639,270.0
seasonal_naive,FOODS_1_047_TX_2,688.5298390791615,679.6551623681742,8.874676710987366,0.0,0.9713720106097182,0.9743589743589743,0.02564102564102564,8.7135277226689,62.0
seasonal_naive,FOODS_1_054_CA_1,910.3260775846351,684.1892244730788,226.1368531115563,0.0,0.662482308788722,0.7692307692307693,0.23076923076923078,8.77165672401383,134.0
seasonal_naive,FOODS_1_054_TX_3,489.1331720142712,458.3664983192209,30.766673695050315,0.0,0.8241904360282839,0.9487179487179487,0.05128205128205128,5.87649356819514,35.0
seasonal_naive,FOODS_1_055_WI_2,1953.5673911150404,1846.299379966921,107.26801114811954,0.0,0.8422529247821772,0.9358974358974359,0.0641025641025641,23.67050487137078,136.0
seasonal_naive,FOODS_1_056_WI_1,1068.0241448098702,1068.0241448098702,0.0,0.0,1.0,1.0,0.0,13.692617241152183,1.0
seasonal_naive,FOODS_1_057_CA_2,2139.192113908708,2139.192113908708,0.0,0.0,1.0,1.0,0.0,27.425539921906513,3.0
seasonal_naive,FOODS_1_060_CA_4,486.2960267103991,486.2960267103991,0.0,0.0,1.0,1.0,0.0,6.234564445005116,39.0
seasonal_naive,FOODS_1_062_TX_2,653.4237776788232,607.0980827655086,46.32569491331462,0.0,0.8028693833475973,0.9743589743589743,0.02564102564102564,7.783308753403956,47.0
seasonal_naive,FOODS_1_064_WI_3,388.4881945840305,388.4881945840305,0.0,0.0,1.0,1.0,0.0,4.980617879282442,18.0
seasonal_naive,FOODS_1_066_WI_1,1170.0208097328311,979.8798323613894,190.14097737144175,0.0,0.7736416936054263,0.782051282051282,0.21794871794871795,12.562561953351146,168.0
seasonal_naive,FOODS_1_069_CA_3,2840.469540050363,2673.034479054139,167.43506099622385,0.0,0.8966450240764051,0.8589743589743589,0.14102564102564102,34.269672808386396,324.0
seasonal_naive,FOODS_1_078_TX_2,922.9832190126532,893.3143835826091,29.66883543004404,0.0,0.8620054166044464,0.9487179487179487,0.05128205128205128,11.452748507469348,43.0
seasonal_naive,FOODS_1_081_WI_1,642.5271873368984,579.1989505977101,63.328236739188256,0.0,0.8109604873457067,0.9230769230769231,0.07692307692307693,7.4256275717655145,67.0
seasonal_naive,FOODS_1_083_WI_3,1694.617820986658,1685.7055359819865,8.91228500467161,0.0,0.9806254673811486,0.9871794871794872,0.01282051282051282,21.611609435666495,92.0
seasonal_naive,FOODS_1_085_CA_4,5047.551914102018,4691.19382410856,356.35808999345795,0.0,0.897006332371833,0.8333333333333334,0.16666666666666666,60.14351056549436,692.0
seasonal_naive,FOODS_1_086_CA_2,1584.3274451727973,1483.802622298508,100.52482287428947,0.0,0.8968976175648312,0.8846153846153846,0.11538461538461539,19.023110542288563,195.0
seasonal_naive,FOODS_1_086_WI_2,2047.0228527384843,1792.0741799478217,254.94867279066273,0.0,0.7984595472010572,0.8205128205128205,0.1794871794871795,22.975309999331046,253.0
seasonal_naive,FOODS_1_089_CA_1,723.2572390228245,703.859999009743,19.397240013081472,0.0,0.8787672499182408,0.9615384615384616,0.038461538461538464,9.023846141150552,32.0
seasonal_naive,FOODS_1_091_TX_3,813.1474506175658,813.1474506175658,0.0,0.0,1.0,1.0,0.0,10.424967315609818,4.0
seasonal_naive,FOODS_1_094_WI_1,631.9084684603106,578.7676551802598,53.14081328005078,0.0,0.8389672324846946,0.8974358974358975,0.10256410256410256,7.420098143336664,66.0
seasonal_naive,FOODS_1_098_CA_2,343.2957438451629,343.2957438451629,0.0,0.0,1.0,1.0,0.0,4.401227485194396,13.0
seasonal_naive,FOODS_1_098_TX_1,407.7748228518524,338.1775119396898,69.59731091216256,0.0,0.7640769121621608,0.9102564102564102,0.08974358974358974,4.335609127431921,59.0
seasonal_naive,FOODS_1_099_CA_2,5103.904747842228,4645.852788080345,458.05195976188344,0.0,0.864481668709502,0.8205128205128205,0.1794871794871795,59.56221523179929,676.0
seasonal_naive,FOODS_1_099_TX_1,3071.355004984934,2613.7980791965074,457.5569257884268,0.0,0.7700718965887302,0.782051282051282,0.21794871794871795,33.51023178457061,398.0
seasonal_naive,FOODS_1_101_CA_1,1394.6901518367756,1394.6901518367756,0.0,0.0,1.0,1.0,0.0,17.880642972266354,0.0
seasonal_naive,FOODS_1_102_TX_2,706.8173556561306,607.4559802057303,99.36137545040039,0.0,0.7077606604399989,0.8076923076923077,0.19230769230769232,7.787897182124747,68.0
seasonal_naive,FOODS_1_106_CA_1,1047.4933863704182,947.6503187089211,99.84306766149723,0.0,0.8168017107128491,0.8461538461538461,0.15384615384615385,12.149363060370783,109.0
seasonal_naive,FOODS_1_107_TX_2,853.5292350401992,853.5292350401992,0.0,0.0,1.0,1.0,0.0,10.942682500515374,28.0
seasonal_naive,FOODS_1_111_WI_2,242.15738142122424,242.15738142122424,0.0,0.0,1.0,1.0,0.0,3.1045818130926186,9.0
seasonal_naive,FOODS_1_119_WI_1,782.2899002010265,697.1674983911132,85.12240180991326,0.0,0.733992494344021,0.8717948717948718,0.1282051282051282,8.938044851168119,64.0
seasonal_naive,FOODS_1_122_WI_3,994.5780080817949,877.1285444355406,117.4494636462543,0.0,0.7674268046608826,0.8333333333333334,0.16666666666666666,11.245237749173597,101.0
seasonal_naive,FOODS_1_131_CA_1,707.1729797264732,692.5649000063685,14.608079720104712,0.0,0.9496273113099838,0.9615384615384616,0.038461538461538464,8.879037179568826,58.0
seasonal_naive,FOODS_1_132_WI_3,456.67374137454203,400.7511346753788,55.922606699163204,0.0,0.7889712954748558,0.8846153846153846,0.11538461538461539,5.137835059940754,53.0
seasonal_naive,FOODS_1_134_CA_2,430.9937028876531,370.86728893169095,60.126413955962185,0.0,0.8149956493662703,0.8846153846153846,0.11538461538461539,4.754708832457577,65.0
seasonal_naive,FOODS_1_139_TX_3,1453.592319405894,1194.7214977290573,258.87082167683656,0.0,0.7216442777668424,0.7948717948717948,0.20512820512820512,15.316942278577658,186.0
seasonal_naive,FOODS_1_143_CA_1,1661.5949543999798,1519.0234340844597,142.57152031552005,0.0,0.7700459349749676,0.9230769230769231,0.07692307692307693,19.47465941133923,124.0
seasonal_naive,FOODS_1_143_WI_2,1098.8869873614108,1098.8869873614108,0.0,0.0,1.0,1.0,0.0,14.088294709761676,34.0
seasonal_naive,FOODS_1_147_TX_2,354.797620699297,322.7570361022682,32.0405845970288,0.0,0.8169109451598354,0.9230769230769231,0.07692307692307693,4.137910719259849,35.0
seasonal_naive,FOODS_1_149_CA_3,1479.5974315080273,1379.2900809438893,100.30735056413792,0.0,0.8468590067723084,0.9102564102564102,0.08974358974358974,17.683206165947297,131.0
seasonal_naive,FOODS_1_156_TX_3,577.0825347984871,540.568907738182,36.513627060305126,0.0,0.8478598872487287,0.9358974358974359,0.0641025641025641,6.930370612027975,48.0
seasonal_naive,FOODS_1_159_CA_4,769.7585113333042,739.7585113333042,30.0,0.0,0.5714285714285714,0.9871794871794872,0.01282051282051282,9.484083478632105,14.0
seasonal_naive,FOODS_1_161_CA_4,6256.827309021871,6131.178838827433,125.64847019443796,0.0,0.9191971252768888,0.9743589743589743,0.02564102564102564,78.60485690804401,311.0
seasonal_naive,FOODS_1_161_WI_3,3907.266811427822,3383.394881661033,523.871929766789,0.0,0.7852983894398405,0.7307692307692307,0.2692307692307692,43.376857457192735,488.0
seasonal_naive,FOODS_1_168_WI_1,558.0479510376815,528.1229295740296,29.925021463651873,0.0,0.8129686158521758,0.9358974358974359,0.0641025641025641,6.770806789410636,32.0
