model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst
pp_quantile_calibrated,959.1054025940908,840.9136667671779,118.19173582691448,0.0,0.8284335140676831,0.9085384615384604,0.0914615384615387,10.78094444573305,0.5019069513874785
pp_quantile_fixed,1009.8321171036773,899.6926744462043,110.13944265747296,0.0,0.8498092352648376,0.9180512820512804,0.08194871794871825,11.534521467259031,0.4755630023201096
point_gbdt_safety,1925.5546835390626,1845.5969543720441,79.95772916701924,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0
