model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst
pp_quantile_calibrated,959.1054025940908,840.9136667671779,118.19173582691448,0.0,0.8284335140676831,0.9085384615384604,0.0914615384615387,10.78094444573305,0.5019069513874785
pp_quantile_fixed,1009.8321171036773,899.6926744462043,110.13944265747296,0.0,0.8498092352648376,0.9180512820512804,0.08194871794871825,11.534521467259031,0.4755630023201096
moving_average,1137.9341693138792,1051.8476416483782,86.08652766549915,0.0,0.8459458524699419,0.9263974358974362,0.07360256410256444,13.485226174979207,0.40903565136752207
croston,1154.643090171847,1066.4516267295753,88.19146344227086,0.0,0.837158488973948,0.9232307692307686,0.07676923076923103,13.672456752943255,0.4003581928664435
seasonal_naive,1293.000757814269,1212.1467540223737,80.8540037918955,0.0,0.8792926330515549,0.936141025641024,0.06385897435897468,15.540343000286834,0.328504784170655
exp_smoothing,1316.6176118241074,1238.7993836845203,77.8182281395873,0.0,0.8816015699162955,0.9378846153846137,0.062115384615384926,15.882043380570789,0.31623982269657624
point_gbdt_safety,1925.5546835390626,1845.5969543720441,79.95772916701924,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0
