model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst
pp_quantile_calibrated,881.2704898410078,611.5390877884922,269.73140205251764,0.0,0.7708877801897832,0.8803589743589735,0.11964102564102583,7.840244715237061,0.4213677798607943
pp_quantile_fixed,974.4594254720536,741.5250312305718,232.9343942414811,0.0,0.8251059738130752,0.9039615384615375,0.09603846153846163,9.506731169622736,0.36018098041817403
point_gbdt_safety,1523.023535794454,1328.20824573942,194.8152900550336,0.0,0.9305235046456205,0.94801282051282,0.05198717948717959,17.028310842813077,0.0
