model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst
pp_quantile_calibrated,15529.367733101613,12004.217568076972,3525.1501650246482,0.0,0.8384996019429719,0.7716923076923081,0.22830769230769152,153.900225231756,0.37614460830827234
pp_quantile_fixed,15726.158562003717,12355.860262703109,3370.2982993005803,0.0,0.8466795880833865,0.7827179487179476,0.21728205128205072,158.40846490645018,0.36823900508243257
point_gbdt_safety,17882.575648121558,15234.742918209091,2647.8327299124508,0.0,0.8870855899215071,0.8425897435897423,0.1574102564102568,195.31721690011634,0.2816100805162879
exp_smoothing,23681.29158574292,22027.943909215628,1653.3476765272806,0.0,0.9229797211351316,0.8972564102564075,0.10274358974359,282.4095372976363,0.04866046757983644
croston,24571.16900828052,22971.57148924717,1599.5975190333586,0.0,0.925484474697473,0.9012564102564078,0.09874358974359009,294.5073267852202,0.012911759870926964
moving_average,24874.234696495674,23316.66218166502,1557.5725148306446,0.0,0.9273719435496212,0.903641025641024,0.09635897435897475,298.93156643160296,0.0007368170864389123
seasonal_naive,24892.575971797174,23325.801998860486,1566.7739729366965,0.0,0.9270885731273576,0.9028717948717933,0.09712820512820539,299.04874357513444,0.0
