model,MAE,RMSE,sMAPE,WAPE,pinball_0.5,coverage_0.5,pinball_0.7,coverage_0.7,pinball_0.8,coverage_0.8,pinball_0.9,coverage_0.9,pinball_0.95,coverage_0.95,pinball_0.99,coverage_0.99,pinball_mean
seasonal_naive,63.3085,94.01449267710449,0.08242678446752616,0.07714494783665153,31.65425,0.581,33.86829765492308,0.9165,31.40221893869868,0.9818333333333333,22.37862864247592,0.9985,13.988140673583693,0.9998333333333334,3.8503283923876217,1.0,22.856977383678167
moving_average,61.83116666666667,91.01750701559196,0.07792295624875129,0.07534473454874632,30.915583333333334,0.6386666666666667,34.4610628248796,0.9465,32.18939508210795,0.9931666666666666,22.85710795901646,0.9996666666666667,14.232970491185503,1.0,3.8993267257209547,1.0,23.0925744027073
exp_smoothing,61.64454687192412,89.75165666208483,0.08089581927501363,0.07511732789196722,30.82227343596206,0.47633333333333333,29.810355736788885,0.876,27.986842292548346,0.9701666666666666,20.535566143783054,0.9978333333333333,13.0655870016073,1.0,3.6658500278053143,1.0,20.981079106415827
croston,57.49891323413174,86.9812605293633,0.07374916835642346,0.07006564145590632,28.74945661706587,0.587,32.51889208287022,0.9405,30.80984090710085,0.9925,22.165412550622467,0.9996666666666667,13.887124510907718,1.0,3.8301575296653985,1.0,21.99348069970542
point_gbdt_safety,60.606528261674995,85.20072383461539,0.07697608092813357,0.07385244416322397,30.303264130837498,0.4048333333333333,27.634217458653435,0.608,23.59143037611989,0.7031666666666667,16.667646250400313,0.8046666666666666,11.33556157713765,0.8601666666666666,4.5149750838825735,0.929,19.007849146171893
pp_quantile_fixed,66.43910276646959,89.73320499630796,0.08750122057866147,0.08095976238946155,33.219551383234794,0.3645,33.173109104348775,0.44016666666666665,28.39276970933729,0.5436666666666666,20.77480225579959,0.6605,12.040953645150244,0.771,2.0855378671382905,0.9686666666666667,21.614453994168162
pp_quantile_calibrated,66.43910276646959,89.73320499630796,0.08750122057866147,0.08095976238946155,33.219551383234794,0.3645,33.173109104348775,0.44016666666666665,28.39276970933729,0.5436666666666666,20.77480225579959,0.6605,12.040953645150244,0.771,2.0855378671382905,0.9686666666666667,21.614453994168162
