model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst
pp_quantile_fixed,793.2006536803907,650.8210870879843,142.379566592406,0.0,0.7911253353542143,0.8892307692307685,0.11076923076923086,8.343860090871587,0.4478006553547752
pp_quantile_calibrated,847.8540614172715,704.9263630238822,142.92769839338882,0.0,0.7991367213085518,0.8908589743589731,0.10914102564102565,9.037517474665162,0.40975280983812956
point_gbdt_safety,1436.4389624366606,1328.20824573942,108.23071669724087,0.0,0.9305235046456205,0.94801282051282,0.05198717948717959,17.028310842813077,0.0
