model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst
pp_quantile_calibrated,1080.837146097667,872.7596217458096,208.07752435185876,0.0,0.830313363009216,0.9104615384615371,0.08953846153846179,11.18922591981807,0.45673495357873184
pp_quantile_fixed,1211.4021095372912,1040.5343400447548,170.86776949253766,0.0,0.8846332179821567,0.933474358974357,0.06652564102564126,13.340183846727594,0.3911086183069341
point_gbdt_safety,1989.520866872678,1845.5969543720441,143.92391250063483,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0
