model,MAE,RMSE,sMAPE,WAPE,pinball_0.5,coverage_0.5,pinball_0.7,coverage_0.7,pinball_0.8,coverage_0.8,pinball_0.9,coverage_0.9,pinball_0.95,coverage_0.95,pinball_0.99,coverage_0.99,pinball_mean
point_gbdt_safety,4.55968333072685,10.647077280411029,0.6813391966576724,0.34841096480864586,2.279841665363425,0.5631666666666667,2.782498114022538,0.8926666666666667,2.6557191093977646,0.9390833333333334,2.0243513131545168,0.966,1.4130014210167359,0.97525,0.6217220923678044,0.98425,1.9628556192204643
pp_quantile_fixed,4.295488710471657,10.38389363314812,0.7003261281149015,0.3282235316331731,2.1477443552358286,0.5118333333333334,2.057174800903782,0.6806666666666666,1.7784562581402594,0.7773333333333333,1.2714032483979583,0.86875,0.839689061877029,0.9275,0.31328916013482727,0.98625,1.4012928141149474
pp_quantile_calibrated,4.295488710471657,10.38389363314812,0.7003261281149015,0.3282235316331731,2.1477443552358286,0.5118333333333334,2.057174800903782,0.6806666666666666,1.7784562581402594,0.7773333333333333,1.2714032483979583,0.86875,0.839689061877029,0.9275,0.31328916013482727,0.98625,1.4012928141149474
