model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst,lead_time,stockout_cost_setting
pp_quantile_calibrated,701.0028670289449,611.0923996781063,89.91046735083917,0.0,0.7708877801897832,0.8803589743589735,0.11964102564102583,7.834517944591088,0.4968204861504243,3,3.0
pp_quantile_fixed,701.0028670289449,611.0923996781063,89.91046735083917,0.0,0.7708877801897832,0.8803589743589735,0.11964102564102583,7.834517944591088,0.4968204861504243,3,3.0
point_gbdt_safety,1393.1466757577655,1328.20824573942,64.93843001834453,0.0,0.9305235046456205,0.94801282051282,0.05198717948717959,17.028310842813077,0.0,3,3.0
pp_quantile_fixed,793.2006536803907,650.8210870879843,142.379566592406,0.0,0.7911253353542143,0.8892307692307685,0.11076923076923086,8.343860090871587,0.4478006553547752,3,5.0
pp_quantile_calibrated,847.8540614172715,704.9263630238822,142.92769839338882,0.0,0.7991367213085518,0.8908589743589731,0.10914102564102565,9.037517474665162,0.40975280983812956,3,5.0
point_gbdt_safety,1436.4389624366606,1328.20824573942,108.23071669724087,0.0,0.9305235046456205,0.94801282051282,0.05198717948717959,17.028310842813077,0.0,3,5.0
pp_quantile_calibrated,881.2704898410078,611.5390877884922,269.73140205251764,0.0,0.7708877801897832,0.8803589743589735,0.11964102564102583,7.840244715237061,0.4213677798607943,3,9.0
pp_quantile_fixed,974.4594254720536,741.5250312305718,232.9343942414811,0.0,0.8251059738130752,0.9039615384615375,0.09603846153846163,9.506731169622736,0.36018098041817403,3,9.0
point_gbdt_safety,1523.023535794454,1328.20824573942,194.8152900550336,0.0,0.9305235046456205,0.94801282051282,0.05198717948717959,17.028310842813077,0.0,3,9.0
pp_quantile_calibrated,911.431599458409,840.0716603670783,71.35993909133167,0.0,0.8283707551351616,0.9084871794871783,0.09151282051282077,10.770149491885618,0.5186706415693332,7,3.0
pp_quantile_fixed,911.431599458409,840.0716603670783,71.35993909133167,0.0,0.8283707551351616,0.9084871794871783,0.09151282051282077,10.770149491885618,0.5186706415693332,7,3.0
point_gbdt_safety,1893.5715918722553,1845.5969543720441,47.97463750021152,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0,7,3.0
pp_quantile_calibrated,959.1054025940908,840.9136667671779,118.19173582691448,0.0,0.8284335140676831,0.9085384615384604,0.0914615384615387,10.78094444573305,0.5019069513874785,7,5.0
pp_quantile_fixed,1009.8321171036773,899.6926744462043,110.13944265747296,0.0,0.8498092352648376,0.9180512820512804,0.08194871794871825,11.534521467259031,0.4755630023201096,7,5.0
point_gbdt_safety,1925.5546835390626,1845.5969543720441,79.95772916701924,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0,7,5.0
pp_quantile_calibrated,1080.837146097667,872.7596217458096,208.07752435185876,0.0,0.830313363009216,0.9104615384615371,0.08953846153846179,11.18922591981807,0.45673495357873184,7,9.0
pp_quantile_fixed,1211.4021095372912,1040.5343400447548,170.86776949253766,0.0,0.8846332179821567,0.933474358974357,0.06652564102564126,13.340183846727594,0.3911086183069341,7,9.0
point_gbdt_safety,1989.520866872678,1845.5969543720441,143.92391250063483,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0,7,9.0
pp_quantile_calibrated,1272.9756886879727,1225.3765015998313,47.59918708814128,0.0,0.8962182851612708,0.941371794871793,0.05862820512820552,15.709955148715759,0.544685099009982,14,3.0
pp_quantile_fixed,1272.9756886879727,1225.3765015998313,47.59918708814128,0.0,0.8962182851612708,0.941371794871793,0.05862820512820552,15.709955148715759,0.544685099009982,14,3.0
point_gbdt_safety,2795.813811320619,2766.9119541907294,28.901857129888203,0.0,0.9827640364133698,0.9855128205128202,0.014487179487179466,35.473230181932415,0.0,14,3.0
pp_quantile_calibrated,1317.9240369448894,1241.012698184331,76.9113387605591,0.0,0.8982967627157905,0.9420128205128186,0.05798717948717986,15.91041920749139,0.5318345363050545,14,5.0
pp_quantile_fixed,1381.6406808211962,1311.0314261207916,70.60925470040195,0.0,0.9133862272019715,0.9499487179487162,0.05005128205128232,16.808095206676814,0.5092005063539913,14,5.0
point_gbdt_safety,2815.081716073877,2766.9119541907294,48.169761883147,0.0,0.9827640364133698,0.9855128205128202,0.014487179487179466,35.473230181932415,0.0,14,5.0
pp_quantile_calibrated,1368.4679561186426,1225.670394854219,142.7975612644238,0.0,0.8962182851612708,0.941371794871793,0.05862820512820552,15.7137230109515,0.5204445081194573,14,9.0
pp_quantile_fixed,1626.447695469077,1525.4122127093838,101.03548275969412,0.0,0.939288990686283,0.9628974358974347,0.03710256410256431,19.556566829607444,0.43004005235835663,14,9.0
point_gbdt_safety,2853.6175255803937,2766.9119541907294,86.70557138966458,0.0,0.9827640364133698,0.9855128205128202,0.014487179487179466,35.473230181932415,0.0,14,9.0
