model,total_cost,holding_cost,stockout_cost,ordering_cost,fill_rate,cycle_service_level,stockout_rate,average_on_hand,cost_reduction_vs_worst,ablation
pp_quantile_calibrated,959.1054025940908,840.9136667671779,118.19173582691448,0.0,0.8284335140676831,0.9085384615384604,0.0914615384615387,10.78094444573305,0.5019069513874785,full
pp_quantile_fixed,1009.8321171036773,899.6926744462043,110.13944265747296,0.0,0.8498092352648376,0.9180512820512804,0.08194871794871825,11.534521467259031,0.4755630023201096,full
point_gbdt_safety,1925.5546835390626,1845.5969543720441,79.95772916701924,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0,full
pp_quantile_calibrated,1009.8320848942633,899.6926372506115,110.13944764365263,0.0,0.8498092235082421,0.9180512820512804,0.08194871794871825,11.534520990392444,0.4755630190474529,no_tau_adaptation
pp_quantile_fixed,1009.8321171036773,899.6926744462043,110.13944265747296,0.0,0.8498092352648376,0.9180512820512804,0.08194871794871825,11.534521467259031,0.4755630023201096,no_tau_adaptation
point_gbdt_safety,1925.5546835390626,1845.5969543720441,79.95772916701924,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0,no_tau_adaptation
pp_quantile_calibrated,959.0048921859627,840.0716603670783,118.93323181888609,0.0,0.8283707551351616,0.9084871794871783,0.09151282051282077,10.770149491885618,0.501959149545748,strong_tau_regularization
pp_quantile_fixed,1009.8321171036773,899.6926744462043,110.13944265747296,0.0,0.8498092352648376,0.9180512820512804,0.08194871794871825,11.534521467259031,0.4755630023201096,strong_tau_regularization
point_gbdt_safety,1925.5546835390626,1845.5969543720441,79.95772916701924,0.0,0.9614357233472661,0.9696538461538461,0.030346153846153898,23.6614994150262,0.0,strong_tau_regularization
pp_quantile_calibrated,1024.8573452509204,911.038476708353,113.81886854256585,0.0,0.8470001341664758,0.9161794871794866,0.08382051282051292,11.679980470619933,0.4783011219680672,short_lags_only
pp_quantile_fixed,1090.5578500944937,987.5726719402427,102.9851781542492,0.0,0.8683105822621903,0.9259102564102549,0.07408974358974377,12.661188101797986,0.4448565847143172,short_lags_only
point_gbdt_safety,1964.4614707953995,1883.742622823608,80.71884797179023,0.0,0.9617985635080445,0.9696410256410254,0.030358974358974403,24.150546446456477,0.0,short_lags_only
